iter	Passed	Remaining
0	160	80030
1	174	43526
2	190	31568
3	202	25106
4	215	21291
5	228	18833
6	241	16996
7	254	15663
8	268	14663
9	282	13853
10	296	13181
11	309	12582
12	322	12063
13	334	11621
14	348	11282
15	362	10957
16	374	10642
17	388	10391
18	400	10126
19	411	9887
20	424	9687
21	439	9548
22	451	9363
23	463	9202
24	476	9058
25	488	8904
26	499	8749
27	511	8621
28	524	8511
29	537	8413
30	549	8315
31	562	8232
32	575	8143
33	587	8046
34	598	7954
35	610	7867
36	622	7793
37	634	7711
38	646	7645
39	658	7570
40	670	7505
41	683	7449
42	696	7404
43	709	7350
44	720	7288
45	733	7236
46	745	7184
47	756	7127
48	771	7104
49	784	7063
50	796	7009
51	808	6965
52	821	6924
53	835	6897
54	848	6865
55	862	6835
56	877	6822
57	890	6783
58	904	6759
59	918	6738
60	938	6750
61	950	6716
62	962	6674
63	975	6646
64	986	6605
65	997	6561
66	1009	6523
67	1022	6495
68	1033	6458
69	1046	6426
70	1057	6387
71	1068	6352
72	1082	6333
73	1093	6296
74	1105	6265
75	1119	6246
76	1133	6228
77	1150	6225
78	1162	6197
79	1174	6167
80	1188	6146
81	1200	6121
82	1211	6088
83	1223	6061
84	1235	6031
85	1247	6004
86	1258	5973
87	1269	5942
88	1280	5914
89	1291	5883
90	1302	5854
91	1314	5828
92	1326	5804
93	1338	5779
94	1350	5757
95	1363	5740
96	1377	5723
97	1389	5699
98	1401	5674
99	1412	5649
100	1424	5625
101	1437	5608
102	1448	5584
103	1459	5556
104	1469	5529
105	1480	5503
106	1491	5478
107	1503	5458
108	1515	5435
109	1526	5413
110	1538	5390
111	1549	5369
112	1562	5352
113	1574	5330
114	1585	5308
115	1597	5287
116	1608	5265
117	1619	5243
118	1630	5221
119	1641	5199
120	1652	5176
121	1664	5157
122	1675	5136
123	1686	5115
124	1698	5096
125	1710	5076
126	1722	5059
127	1733	5038
128	1744	5016
129	1756	4998
130	1769	4983
131	1782	4969
132	1793	4948
133	1804	4929
134	1816	4910
135	1828	4893
136	1841	4879
137	1854	4864
138	1866	4847
139	1879	4831
140	1890	4814
141	1903	4799
142	1916	4784
143	1930	4771
144	1942	4756
145	1955	4740
146	1968	4727
147	1981	4713
148	1994	4699
149	2006	4681
150	2017	4663
151	2030	4649
152	2043	4633
153	2056	4620
154	2070	4607
155	2083	4594
156	2095	4577
157	2107	4561
158	2119	4544
159	2129	4525
160	2147	4522
161	2160	4507
162	2172	4491
163	2184	4474
164	2196	4460
